ID,RA,e_RA,DEC,e_DEC,Sint,e_Sint,Spk,e_Spk,MAJAX,e_MAJAX,MINAX,e_MINAX,PA,e_PA,Island_RMS,S_Code,Mosaic_Name
J121044.0+502255,182.6834,2.4,50.38208,2.5,33.7,7.1,30.3,4.8,27.7,3.6,25.1,3.0,-0.9,53.7,3.7,S,R37D64
J121103.0+502903,182.76266,2.4,50.48424,2.9,592.2,59.4,68.7,7.7,102.6,5.6,36.1,1.4,61.4,3.6,3.6,M,R37D64
J121107.1+503609,182.77975,2.4,50.60256,2.3,55.7,7.9,37.3,5.2,33.4,3.5,28.0,2.6,61.0,25.4,3.4,S,R37D64
J121126.8+504225,182.86182,2.0,50.70721,2.0,125.6,13.8,131.6,13.6,24.8,0.6,24.1,0.6,17.5,34.7,3.4,S,R37D64
J121127.3+505250,182.86385,2.0,50.88064,2.0,963.1,96.5,860.0,86.1,26.9,0.1,26.0,0.1,69.4,5.3,3.3,C,R37D64
J121130.3+505253,182.87642,2.0,50.88153,2.0,1041.0,104.3,994.8,99.5,26.0,0.1,25.1,0.1,-63.8,4.4,3.3,C,R37D64
J121130.9+505738,182.87904,2.1,50.9606,2.1,74.8,9.4,73.3,8.0,25.8,1.2,24.7,1.1,-37.7,44.1,3.3,S,R37D64
J121136.4+505540,182.90173,2.3,50.92798,2.5,62.7,8.2,38.6,5.2,37.1,3.8,27.4,2.2,-18.8,14.7,3.3,S,R37D64
J121141.0+501017,182.92102,2.3,50.17145,3.7,354.7,37.2,76.7,8.5,94.1,7.6,24.5,1.0,72.7,3.7,3.6,M,R37D64
J121156.9+511110,182.98749,2.0,51.18616,2.0,558.2,56.4,481.6,48.3,28.2,0.2,24.4,0.2,24.8,2.3,3.4,M,R37D64
J121219.8+504753,183.08253,2.0,50.79826,2.0,1573.4,157.6,1223.0,122.3,30.5,0.1,24.9,0.1,71.6,0.7,3.4,M,R37D64
J121225.1+503145,183.10493,2.5,50.52926,2.9,34.2,6.8,25.8,4.5,32.0,5.0,25.9,3.4,-16.9,31.2,3.5,S,R37D64
J121231.7+494514,183.13245,2.2,49.75409,2.3,50.5,7.9,41.6,5.6,28.9,2.7,26.3,2.3,-12.9,41.5,3.6,S,R37D64
J121241.0+493008,183.17084,2.1,49.50232,2.1,72.2,9.5,64.5,7.4,28.0,1.7,25.0,1.3,23.6,20.5,3.6,S,R38D63
J121259.0+505312,183.2459,2.0,50.88682,2.0,556.9,56.0,551.3,55.2,25.4,0.2,24.8,0.2,-23.6,10.9,3.5,S,R37D64
J121300.6+512934,183.25267,2.0,51.4929,2.0,88.4,10.6,86.7,9.3,25.8,1.0,24.7,1.0,78.3,35.6,3.4,S,R37D64
J121302.0+495100,183.25851,2.0,49.85027,2.0,108.4,12.4,100.6,10.7,26.9,1.0,25.1,0.9,37.2,22.1,3.5,S,R37D64
J121303.5+513853,183.26498,2.3,51.64822,2.3,38.8,7.1,35.4,5.0,26.7,2.7,25.6,2.5,71.2,90.0,3.4,S,R37D64
J121309.3+502536,183.28914,2.1,50.42687,2.0,156.4,16.6,108.2,11.4,34.5,1.3,26.2,0.8,60.6,6.3,3.4,S,R37D64
J121329.1+504430,183.37138,2.0,50.74181,2.0,178.1,18.8,178.9,18.2,25.5,0.5,24.4,0.5,23.3,19.0,3.4,S,R37D64
J121336.9+492046,183.40408,2.0,49.34627,2.0,209.6,21.8,163.7,16.8,31.1,0.7,25.8,0.5,21.4,4.1,3.5,S,R38D63
J121337.7+503601,183.40724,2.1,50.60047,2.2,52.5,7.9,48.4,6.0,26.9,2.0,25.2,1.8,6.1,47.8,3.4,S,R37D64
J121341.0+501807,183.42094,2.0,50.30218,2.0,372.1,37.7,355.2,35.7,25.8,0.3,25.4,0.2,-20.3,28.5,3.4,S,R37D64
J121341.8+494149,183.42436,2.3,49.69695,2.3,43.5,7.2,35.6,5.0,28.9,3.0,26.5,2.5,-36.6,47.4,3.4,S,R38D63
J121352.3+495058,183.46796,2.3,49.84947,2.4,27.8,6.6,28.8,4.4,26.2,3.3,23.0,2.5,-0.8,39.6,3.4,S,R37D64
J121357.7+494739,183.4908,2.1,49.79434,2.0,201.5,21.7,121.1,12.6,36.2,1.4,23.4,0.6,0.3,3.7,3.4,M,R38D63
J121404.8+515021,183.5202,2.1,51.83928,2.2,132.0,14.2,72.4,8.1,39.5,2.2,28.9,1.3,14.9,8.7,3.4,S,R37D64
J121405.5+502846,183.52333,2.0,50.47967,2.0,826.2,83.0,739.1,74.0,26.9,0.1,25.0,0.1,-6.0,2.6,3.4,M,R37D64
J121407.4+494045,183.53108,2.0,49.67937,2.1,118.9,13.1,87.6,9.4,33.7,1.5,25.2,0.9,12.8,5.2,3.3,S,R38D63
J121413.7+494257,183.55746,2.0,49.71605,2.0,466.3,47.3,375.6,37.7,29.4,0.3,25.1,0.2,27.4,2.7,3.3,M,R38D63
J121418.1+490847,183.57578,2.1,49.14659,2.1,91.5,10.9,72.8,8.1,29.8,1.6,26.4,1.2,-17.5,16.7,3.5,S,R38D63
J121421.6+512653,183.5903,2.0,51.44829,2.0,304.2,31.0,267.8,27.0,27.0,0.4,26.3,0.3,-74.4,19.4,3.5,S,R37D64
J121421.6+513333,183.59033,2.0,51.55941,2.0,534.2,53.8,493.1,49.4,26.1,0.2,25.9,0.2,-84.2,52.8,3.5,S,R37D64
J121438.2+500646,183.65924,2.0,50.11296,2.0,1634.0,163.7,740.3,74.1,43.9,0.3,27.8,0.1,51.7,0.7,3.5,M,R37D64
J121446.3+510705,183.69301,2.7,51.11816,2.4,81.6,9.8,42.1,5.6,46.6,5.0,26.0,1.9,59.2,9.3,3.6,S,R37D64
J121500.3+500218,183.75143,2.4,50.03851,2.3,47.1,7.4,36.2,5.1,30.6,3.2,26.5,2.5,66.8,31.0,3.4,S,R37D64
J121514.2+495132,183.80946,2.1,49.85916,2.1,48.4,7.5,48.6,5.9,25.9,1.8,24.1,1.6,-46.4,38.8,3.3,S,R38D63
J121525.0+501242,183.85429,2.0,50.21188,2.0,416.6,42.1,369.3,37.1,27.9,0.3,25.3,0.2,-34.8,5.0,3.4,S,R37D64
J121531.0+510557,183.87926,2.5,51.09922,2.8,34.7,7.1,26.8,4.7,30.3,4.6,26.7,3.6,-14.5,49.4,3.7,S,R37D64
J121534.4+502746,183.89368,2.1,50.46305,2.1,94.5,11.0,67.9,7.7,31.1,1.7,27.9,1.4,85.0,21.9,3.3,S,R37D64
J121536.9+492349,183.90385,2.5,49.39719,2.6,26.1,6.0,23.2,4.0,27.5,4.0,25.6,3.5,-33.3,79.8,3.2,S,R38D63
J121541.3+485107,183.92245,2.1,48.85215,2.3,60.2,8.1,46.1,5.7,32.8,2.7,24.8,1.6,4.0,11.5,3.3,S,R38D63
J121549.5+511614,183.95631,2.2,51.27067,2.3,53.5,8.2,44.0,5.8,29.0,2.6,26.2,2.2,-6.7,38.6,3.7,S,R37D64
J121549.5+494122,183.95641,2.5,49.68954,2.5,52.7,7.3,31.6,4.6,35.5,4.1,29.4,2.9,37.2,24.9,3.2,S,R38D63
J121549.8+520522,183.95757,2.2,52.08964,2.2,69.1,8.7,47.0,5.8,32.0,2.4,28.7,2.0,73.8,30.4,3.2,S,R37D64
J121552.6+493620,183.96951,2.0,49.60571,2.0,197.6,20.5,175.5,17.8,27.0,0.5,26.1,0.5,30.0,20.3,3.1,S,R38D63
J121554.6+503355,183.97778,2.1,50.56534,2.1,60.8,8.4,56.6,6.6,26.4,1.6,25.4,1.5,-5.3,68.5,3.4,S,R37D64
J121556.8+485234,183.98682,2.0,48.87622,2.0,397.6,40.1,360.4,36.2,27.3,0.3,25.2,0.2,-4.4,4.0,3.2,S,R38D63
J121600.4+514131,184.0018,2.2,51.69198,2.3,59.6,8.2,43.8,5.6,31.2,2.7,27.3,2.1,-28.5,28.1,3.4,S,R37D64
J121624.0+492125,184.10036,2.4,49.35697,2.5,32.1,6.3,27.5,4.3,28.9,3.7,25.2,2.8,22.4,37.0,3.2,S,R38D63
J121629.7+503322,184.1241,2.3,50.5563,2.4,43.5,7.3,35.6,5.0,30.4,3.3,25.1,2.3,-24.9,24.7,3.4,S,R37D64
J121638.3+515955,184.15991,2.4,51.99877,2.3,62.1,8.2,39.5,5.3,33.0,3.1,29.8,2.6,89.0,39.9,3.3,S,R37D64
J121644.2+493851,184.18433,2.3,49.64762,2.2,74.8,9.1,46.4,5.8,34.9,2.8,28.8,2.0,54.5,16.9,3.2,S,R38D63
J121655.1+491802,184.22995,2.7,49.30075,2.5,54.4,7.5,30.4,4.6,36.4,4.5,30.8,3.3,-62.3,30.3,3.2,S,R38D63
J121709.3+492438,184.28902,2.1,49.41079,2.1,84.8,10.1,71.0,7.8,28.4,1.4,26.3,1.2,-51.8,26.0,3.2,S,R38D63
J121710.2+484704,184.29286,2.1,48.7846,2.1,56.7,7.8,52.3,6.1,26.5,1.7,25.5,1.5,-38.9,68.1,3.1,S,R38D63
J121714.8+485819,184.31194,2.0,48.97196,2.0,229.1,23.5,182.6,18.6,29.3,0.6,26.8,0.5,48.9,8.3,3.2,S,R38D63
J121726.1+490602,184.35901,2.0,49.10064,2.1,121.9,13.3,97.4,10.3,30.3,1.1,25.8,0.8,-6.1,8.9,3.2,S,R38D63
J121730.7+500855,184.3782,2.1,50.14888,2.1,61.4,8.6,54.2,6.5,28.0,1.9,25.3,1.6,-42.5,26.4,3.5,S,R38D63
J121731.8+495821,184.38264,2.2,49.97254,2.3,73.8,9.2,48.9,6.1,34.3,2.8,27.5,1.9,2.3,14.9,3.4,S,R38D63
J121731.8+485953,184.38289,2.0,48.99814,2.0,393.8,39.8,376.6,37.8,25.9,0.2,25.2,0.2,11.8,11.4,3.2,S,R38D63
J121736.7+515510,184.40298,2.1,51.9196,2.1,82.4,10.0,76.7,8.3,26.8,1.2,25.1,1.0,-19.8,29.7,3.2,S,R37D64
J121743.7+492231,184.43222,2.8,49.3754,3.0,44.4,6.7,24.1,4.3,35.8,5.4,32.1,4.5,8.9,58.5,3.2,S,R38D63
J121746.0+512001,184.44199,2.7,51.33386,2.7,42.0,7.3,27.7,4.8,31.5,4.5,30.1,4.2,38.2,90.0,3.7,S,R37D64
J121749.5+490207,184.45634,2.0,49.03551,2.0,424.7,42.8,383.8,38.5,27.0,0.2,25.6,0.2,4.7,5.9,3.2,S,R38D63
J121754.3+490827,184.47626,2.0,49.1409,2.0,165.9,17.5,141.4,14.5,28.4,0.7,25.8,0.6,13.8,10.2,3.2,S,R38D63
J121808.1+502941,184.5341,2.3,50.49493,2.2,52.4,7.9,45.0,5.7,29.2,2.5,24.9,1.8,75.7,23.3,3.4,S,R37D64
J121811.6+500457,184.54861,2.4,50.08265,2.7,26.7,6.5,25.1,4.3,28.0,4.2,23.8,3.1,-12.6,37.3,3.5,S,R38D63
J121812.9+513429,184.55403,2.1,51.57496,2.1,85.5,10.2,63.5,7.2,30.3,1.7,27.8,1.5,-28.4,29.2,3.3,S,R37D64
J121813.0+485321,184.55438,2.6,48.88924,2.5,29.5,6.2,24.5,4.1,27.9,3.8,26.9,3.6,71.5,90.0,3.2,S,R38D63
J121814.2+490735,184.55951,2.1,49.12648,2.1,57.5,8.0,52.3,6.2,27.1,1.8,25.3,1.6,88.5,38.3,3.2,S,R38D63
J121821.1+495453,184.5882,2.3,49.91483,2.4,88.1,10.2,45.8,5.8,43.5,4.0,27.7,1.9,-39.3,8.8,3.4,S,R38D63
J121821.6+493717,184.59039,2.3,49.62148,2.5,50.8,7.4,34.5,4.9,34.2,3.8,26.9,2.4,18.8,18.9,3.3,S,R38D63
J121822.6+491202,184.59451,2.5,49.20069,2.4,31.5,6.4,27.1,4.3,27.5,3.5,26.4,3.2,-60.0,90.0,3.3,S,R38D63
J121837.5+505320,184.65662,2.5,50.88898,2.5,60.0,8.4,36.6,5.4,33.8,3.8,30.3,3.2,54.0,44.9,3.7,S,R37D64
J121839.5+502549,184.66466,2.0,50.43053,2.0,1616.4,161.9,973.1,97.4,50.1,0.3,27.5,0.1,73.0,0.4,3.4,M,R37D64
J121848.7+493527,184.70293,2.0,49.59091,2.1,122.2,13.4,98.2,10.4,29.9,1.1,26.0,0.8,-6.8,10.5,3.3,S,R38D63
J121856.2+502629,184.73438,2.0,50.44162,2.0,1529.0,153.2,744.2,74.5,51.1,0.3,27.7,0.1,77.2,0.5,3.4,M,R37D64
J121906.3+505442,184.77654,2.2,50.91182,2.1,67.4,9.1,55.9,6.7,29.4,2.1,25.7,1.6,-52.9,23.7,3.6,S,R37D64
J121909.7+494727,184.79051,2.0,49.79101,2.0,100.7,11.6,92.6,9.9,26.8,1.0,25.4,0.9,-82.4,27.1,3.3,S,R38D63
J121911.1+491128,184.79663,2.7,49.19111,2.6,46.5,7.0,27.5,4.5,33.3,4.4,31.8,4.0,-88.1,90.0,3.3,S,R38D63
J121915.5+491519,184.81459,2.2,49.25537,2.3,45.5,7.2,38.5,5.1,28.4,2.6,25.9,2.2,21.0,40.1,3.3,S,R38D63
J121917.1+494657,184.8215,2.0,49.78267,2.0,129.6,14.2,116.2,12.1,26.9,0.8,25.9,0.8,89.7,31.0,3.4,S,R38D63
J121918.3+504018,184.82632,2.7,50.67167,2.7,33.8,6.6,24.7,4.4,29.4,4.3,29.1,4.3,-89.4,1.8,3.4,S,R37D64
J121923.5+505409,184.84825,2.5,50.90265,2.4,63.6,8.5,38.2,5.4,38.2,4.3,27.3,2.4,-49.4,16.4,3.6,S,R37D64
J121926.4+495740,184.86021,2.1,49.96126,2.2,57.2,8.1,50.5,6.1,27.9,2.0,25.4,1.7,23.4,32.1,3.4,S,R38D63
J121931.8+483713,184.8828,2.2,48.62031,2.2,53.4,7.9,45.3,5.7,28.6,2.3,25.8,1.9,-34.5,32.3,3.4,S,R38D63
J121951.7+513549,184.96565,2.0,51.59704,2.0,91.9,10.8,86.5,9.3,26.4,1.0,25.2,0.9,47.2,34.9,3.2,S,R37D64
J121954.3+494756,184.97649,2.1,49.79897,2.1,60.1,8.4,55.6,6.5,26.4,1.7,25.6,1.6,75.9,76.2,3.4,S,R38D63
J122010.3+520608,185.04321,2.1,52.10246,2.2,82.2,9.7,53.5,6.3,34.9,2.4,27.5,1.6,17.9,12.1,3.1,C,R38D65
J122012.0+520652,185.05009,2.0,52.11465,2.0,139.0,14.8,102.7,10.8,31.2,1.1,27.1,0.8,21.7,9.9,3.1,C,R38D65
J122015.2+513904,185.06351,2.0,51.65131,2.0,275.8,28.1,241.2,24.3,27.1,0.4,26.4,0.4,-86.1,21.6,3.2,S,R38D64
J122018.1+484641,185.07571,2.0,48.77825,2.0,163.8,17.3,118.0,12.4,31.6,1.0,27.4,0.8,80.0,9.5,3.4,S,R38D63
J122026.3+501830,185.10973,2.0,50.30854,2.0,136.4,14.8,108.3,11.4,28.9,1.0,27.3,0.9,-14.5,23.7,3.4,S,R38D63
J122029.8+484058,185.12428,2.3,48.68299,2.5,37.7,7.0,31.6,4.8,29.1,3.5,25.6,2.7,3.3,37.7,3.5,S,R38D63
J122034.6+504456,185.14439,2.6,50.74898,2.4,35.1,6.8,28.8,4.6,29.1,3.8,26.2,3.1,86.1,48.4,3.4,S,R38D64
J122035.0+514350,185.14613,2.0,51.73068,2.0,160.1,16.9,129.7,13.4,28.3,0.7,27.3,0.7,-49.4,29.3,3.2,S,R38D64
J122046.8+501856,185.19521,2.2,50.31567,2.3,51.1,7.6,40.3,5.4,30.5,2.9,26.0,2.1,-1.4,24.4,3.4,S,R38D63
J122048.1+484854,185.20053,2.4,48.81509,2.3,40.5,7.0,34.5,4.9,29.0,3.1,25.3,2.4,77.3,31.6,3.4,S,R38D63
J122056.3+484227,185.23462,2.3,48.70758,2.2,57.1,8.1,42.9,5.6,29.9,2.6,27.8,2.3,-59.6,47.3,3.4,S,R38D63
J122057.1+491950,185.23808,2.2,49.33063,2.1,57.0,8.1,49.7,6.0,28.4,2.1,25.3,1.7,70.6,25.5,3.3,S,R38D63
J122101.0+494032,185.25453,2.2,49.6758,2.2,41.1,7.0,41.6,5.3,25.0,2.0,24.7,1.9,-35.1,0.2,3.3,C,R38D63
J122104.0+494029,185.26689,2.5,49.67475,2.3,33.0,6.5,29.3,4.5,28.1,3.4,25.0,2.7,85.7,43.7,3.3,C,R38D63
J122108.7+515034,185.28641,2.0,51.84283,2.0,523.2,52.6,378.8,38.0,31.1,0.3,27.8,0.2,7.3,3.7,3.1,C,R38D65
J122109.4+485037,185.28944,2.8,48.84383,2.1,118.4,12.7,47.9,5.9,54.0,4.6,28.6,1.7,-87.6,6.9,3.4,S,R38D63
J122109.6+515113,185.29036,2.0,51.85387,2.0,518.8,52.1,411.6,41.3,28.3,0.2,27.9,0.2,-53.6,25.0,3.1,C,R38D65
J122110.7+484238,185.29494,2.0,48.71078,2.0,2264.5,226.6,2057.2,205.7,29.9,0.1,26.0,0.0,-21.5,0.6,3.4,M,R38D63
J122120.0+513232,185.33339,2.0,51.5423,2.0,142.8,15.3,122.9,12.8,27.4,0.8,26.5,0.7,-48.1,34.4,3.3,S,R38D64
J122123.5+503523,185.34825,2.0,50.58995,2.0,1407.6,141.1,1130.9,113.1,30.3,0.1,26.5,0.1,57.7,1.0,3.4,M,R38D64
J122125.5+491833,185.35635,2.0,49.3093,2.1,93.1,10.9,84.6,9.1,27.2,1.1,25.3,1.0,-25.5,22.7,3.3,C,R38D63
J122128.0+504852,185.36694,2.0,50.8145,2.0,669.9,67.2,591.9,59.3,27.5,0.2,25.7,0.1,67.6,1.9,3.4,S,R38D64
J122129.5+491814,185.37305,2.1,49.30412,2.1,90.9,10.7,76.7,8.4,28.5,1.3,26.0,1.1,66.5,21.0,3.3,C,R38D63
J122130.9+513801,185.37878,2.0,51.63383,2.0,129.6,14.1,106.3,11.1,28.3,0.9,27.0,0.8,-33.3,25.3,3.2,S,R38D64
J122137.1+494126,185.40482,2.0,49.69061,2.0,99.7,11.4,93.4,9.9,26.2,0.9,25.5,0.9,-31.5,53.5,3.2,S,R38D63
J122156.2+514904,185.48456,2.1,51.81793,2.1,108.1,11.9,73.3,8.0,33.2,1.6,27.8,1.2,64.9,9.6,3.1,S,R38D64
J122158.8+511121,185.49504,2.8,51.1893,2.6,37.6,6.7,25.8,4.4,31.7,4.6,28.7,3.9,62.8,59.4,3.4,S,R38D64
J122201.1+483041,185.50494,2.1,48.5115,2.1,61.2,8.5,56.8,6.7,26.9,1.7,25.0,1.5,-12.3,35.8,3.4,S,R38D63
J122210.8+515928,185.5452,2.0,51.99131,2.0,99.0,11.2,90.4,9.6,26.5,0.9,25.9,0.9,10.4,60.0,3.0,S,R38D65
J122214.3+500456,185.55966,2.0,50.08227,2.0,302.7,30.7,215.4,21.8,34.0,0.6,25.8,0.4,60.1,3.1,3.2,S,R38D63
J122225.9+492537,185.60823,2.4,49.4272,2.4,28.4,6.3,27.9,4.3,26.3,3.2,24.2,2.7,43.8,58.9,3.2,S,R38D63
J122228.0+512459,185.61688,2.2,51.41651,2.3,49.2,7.4,40.5,5.3,29.6,2.7,25.6,2.0,13.5,23.7,3.3,S,R38D64
J122230.2+485244,185.62605,2.9,48.8791,3.2,66.0,8.1,29.8,4.5,52.1,7.3,26.6,2.4,39.0,10.5,3.3,S,R38D63
J122236.0+502854,185.65028,2.5,50.4817,2.7,41.2,6.9,29.8,4.6,35.8,5.0,24.2,2.4,32.6,13.4,3.4,S,R38D64
J122242.8+505239,185.6785,2.1,50.87773,2.1,69.9,9.0,65.3,7.3,26.6,1.4,25.2,1.3,19.3,39.3,3.3,S,R38D64
J122251.8+502654,185.71597,2.0,50.44842,2.0,5400.3,540.1,4935.2,493.5,26.4,0.0,25.9,0.0,40.7,0.3,3.4,S,R38D64
J122300.9+501632,185.75385,2.1,50.27576,2.1,79.3,9.7,70.5,7.8,28.3,1.4,24.9,1.1,35.3,14.7,3.3,S,R38D64
J122304.2+510335,185.76755,2.0,51.05991,2.0,229.8,23.6,191.4,19.4,28.3,0.5,26.5,0.5,-55.1,10.3,3.3,S,R38D64
J122318.2+511551,185.82611,2.0,51.26437,2.0,530.0,53.8,292.7,29.5,36.8,0.5,27.2,0.3,16.4,2.0,3.3,M,R38D64
J122327.0+501806,185.86258,2.0,50.3018,2.0,139.8,15.0,111.2,11.6,29.5,0.9,26.7,0.8,73.2,11.9,3.3,S,R38D64
J122332.0+485841,185.88348,2.0,48.97815,2.1,172.4,18.1,97.9,10.5,36.6,1.5,30.1,1.0,7.4,9.4,3.4,S,R38D63
